timestamp_utc,symbol,direction,score,buy_score,sell_score,bias,confidence,signal_price,entry_low,entry_high,invalidation,targets,sessions,candle_trigger,takeoff_score,fall_score,takeoff_signal,fall_signal,flow_delta,book_imbalance,volume_impulse,btc_alignment,notes
2026-06-28T10:23:59.999000+00:00,HYPEUSDT,long,80,80,23,BUY SIGNAL,signal,62.875,62.830964,62.857614,62.765771,62.851;62.862;62.868,London open window,bullish pin bar,0,0,,,0.413141,0,0.476338,short,"Market structure: recent highs/lows are shifting upward (+Buy 10, +Sell 0) | Latest candle close: latest candle closed high in its range (1.00) (+Buy 5, +Sell 0) | Liquidity sweep: equal lows swept and candle closed back above the level (+Buy 22, +Sell 0) | Level reclaim: price reclaimed a swept low (+Buy 12, +Sell 0) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: bullish pin bar (+Buy 14, +Sell 0) | Trade flow: aggressive market buying: delta +0.41 (+Buy 14, +Sell 0) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
2026-06-28T10:24:59.999000+00:00,BTCUSDT,short,77,15,77,SELL SIGNAL,signal,60119.8,60117.192,60126.32,60317.356,59922.244;59724.689;59527.133,London open window,strong bearish close,0,38,,FALL WATCH 38/100 — closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low,-0.568906,0,1.11438,short,"Market structure: recent highs/lows are shifting downward (+Buy 0, +Sell 10) | Latest candle close: latest candle closed low in its range (0.00) (+Buy 0, +Sell 5) | Fair Value Gap: bullish imbalance detected on latest 3-candle structure (+Buy 12, +Sell 0) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: strong bearish close (+Buy 0, +Sell 14) | Candle urgency: FALL WATCH 38/100 — closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low (+Buy 0, +Sell 11) | Trade flow: aggressive market selling: delta -0.57 (+Buy 0, +Sell 14) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
2026-06-28T10:24:59.999000+00:00,ETHUSDT,short,92,7,92,STRONG SELL,strong-signal,1575.57,1575.4886,1575.8084,1582.8402,1575.49;1568.3198;1561.0596,London open window,strong bearish close,0,72,,"FALL NOW 72/100 — bearish ignition candle; body 0.92, range 1.23x avg, close pos 0.08; closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low",-0.417453,0,1.89923,short,"Market structure: recent highs/lows are shifting downward (+Buy 0, +Sell 10) | Latest candle close: latest candle closed low in its range (0.08) (+Buy 0, +Sell 5) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: strong bearish close (+Buy 0, +Sell 14) | Candle urgency: FALL NOW 72/100 — bearish ignition candle; body 0.92, range 1.23x avg, close pos 0.08; closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low (+Buy 0, +Sell 22) | Volume impulse: above-average activity: 1.90x (+Buy 4, +Sell 4) | Trade flow: aggressive market selling: delta -0.42 (+Buy 0, +Sell 14) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
2026-06-28T10:24:59.999000+00:00,BNBUSDT,short,72,3,72,SELL SIGNAL,watch,555.18,555.16,555.23,557.1625,555.16;553.1975;551.215,London open window,strong bearish close,0,44,,FALL WATCH 44/100 — closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low; volume above average: 1.27x,-0.347625,0,1.27345,short,"Market structure: recent highs/lows are shifting downward (+Buy 0, +Sell 10) | Latest candle close: latest candle closed low in its range (0.12) (+Buy 0, +Sell 5) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: strong bearish close (+Buy 0, +Sell 14) | Candle urgency: FALL WATCH 44/100 — closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low; volume above average: 1.27x (+Buy 0, +Sell 11) | Trade flow: sellers stronger: delta -0.35 (+Buy 0, +Sell 9) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
2026-06-28T10:24:59.999000+00:00,AGLDUSDT,short,72,13,72,SELL SIGNAL,watch,0.1867,0.18659857,0.18695357,0.18950286,0.1866;0.1865;0.1864,London open window,strong bearish close,0,28,,FALL WATCH 28/100 — two-candle downside acceleration; latest close broke previous low; three bearish continuation candles with weak closes,-0.168301,0,0.501385,short,"Market structure: recent highs/lows are shifting upward (+Buy 10, +Sell 0) | Short-term momentum: 3-candle price pressure is bearish: -1.01% (+Buy 0, +Sell 10) | Latest candle close: latest candle closed low in its range (0.10) (+Buy 0, +Sell 5) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: strong bearish close (+Buy 0, +Sell 14) | Candle urgency: FALL WATCH 28/100 — two-candle downside acceleration; latest close broke previous low; three bearish continuation candles with weak closes (+Buy 0, +Sell 11) | Trade flow: sellers stronger: delta -0.17 (+Buy 0, +Sell 9) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
2026-06-28T10:24:59.999000+00:00,XRPUSDT,short,70,6,70,SELL SIGNAL,watch,1.0472,1.0475264,1.0477839,1.0539471,1.0474;1.0412529;1.0349057,London open window,strong bearish close,0,28,,FALL WATCH 28/100 — two-candle downside acceleration; latest close broke previous low; three bearish continuation candles with weak closes,-0.53331,0,0.90933,short,"Market structure: range market; wait for sweep or breakout (+Buy 3, +Sell 3) | Latest candle close: latest candle closed low in its range (0.00) (+Buy 0, +Sell 5) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: strong bearish close (+Buy 0, +Sell 14) | Candle urgency: FALL WATCH 28/100 — two-candle downside acceleration; latest close broke previous low; three bearish continuation candles with weak closes (+Buy 0, +Sell 11) | Trade flow: aggressive market selling: delta -0.53 (+Buy 0, +Sell 14) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
2026-06-28T10:25:59.999000+00:00,SOLUSDT,short,81,12,81,SELL SIGNAL,signal,71.12,71.091429,71.121429,71.967143,71.06;70.232857;69.365714,London open window,strong bearish close,0,58,,"FALL WATCH 58/100 — bearish ignition candle; body 0.77, range 2.95x avg, close pos 0.18; closed below recent candle lows; breakdown confirmed by close; volume expansion confirms urgency: 4.60x avg",-0.0322744,0,4.97544,short,"Market structure: range market; wait for sweep or breakout (+Buy 3, +Sell 3) | Short-term momentum: mild bearish pressure: -0.34% (+Buy 0, +Sell 6) | Latest candle close: latest candle closed low in its range (0.18) (+Buy 0, +Sell 5) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: strong bearish close (+Buy 0, +Sell 14) | Candle urgency: FALL WATCH 58/100 — bearish ignition candle; body 0.77, range 2.95x avg, close pos 0.18; closed below recent candle lows; breakdown confirmed by close; volume expansion confirms urgency: 4.60x avg (+Buy 0, +Sell 18) | Volume impulse: very high activity: 4.98x average (+Buy 6, +Sell 6) | Directional volume: high volume is supporting downside pressure (+Buy 0, +Sell 6) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
2026-06-28T10:25:59.999000+00:00,ZECUSDT,short,96,23,96,STRONG SELL,strong-signal,385.61,385.41807,385.63482,389.73386,385.06;381.22614;376.97229,London open window,strong bearish close,0,72,,"FALL NOW 72/100 — bearish ignition candle; body 0.80, range 4.29x avg, close pos 0.20; closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low",0.863619,0,6.73503,short,"Market structure: recent highs/lows are shifting downward (+Buy 0, +Sell 10) | Short-term momentum: 3-candle price pressure is bearish: -0.55% (+Buy 0, +Sell 10) | Latest candle close: latest candle closed low in its range (0.20) (+Buy 0, +Sell 5) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: strong bearish close (+Buy 0, +Sell 14) | Candle urgency: FALL NOW 72/100 — bearish ignition candle; body 0.80, range 4.29x avg, close pos 0.20; closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low (+Buy 0, +Sell 22) | Volume impulse: very high activity: 6.74x average (+Buy 6, +Sell 6) | Directional volume: high volume is supporting downside pressure (+Buy 0, +Sell 6) | Trade flow: aggressive market buying: delta +0.86 (+Buy 14, +Sell 0) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
2026-06-28T10:25:59.999000+00:00,LABUSDT,short,73,3,73,SELL SIGNAL,watch,17.1,17.078407,17.108482,17.620043,17.082;17.053;17.044,London open window,strong bearish close,0,30,,"FALL WATCH 30/100 — bearish ignition candle; body 0.65, range 1.93x avg, close pos 0.24; volume above average: 1.28x",-0.0597053,0,1.40327,short,"Market structure: recent highs/lows are shifting downward (+Buy 0, +Sell 10) | Short-term momentum: 3-candle price pressure is bearish: -0.54% (+Buy 0, +Sell 10) | Latest candle close: latest candle closed low in its range (0.24) (+Buy 0, +Sell 5) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: strong bearish close (+Buy 0, +Sell 14) | Candle urgency: FALL WATCH 30/100 — bearish ignition candle; body 0.65, range 1.93x avg, close pos 0.24; volume above average: 1.28x (+Buy 0, +Sell 11) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
2026-06-28T10:25:59.999000+00:00,HYPEUSDT,short,89,21,89,STRONG SELL,strong-signal,62.638,62.611914,62.643714,63.090421,62.594;62.151579;61.682157,London open window,strong bearish close,0,72,,"FALL NOW 72/100 — bearish ignition candle; body 0.82, range 2.07x avg, close pos 0.15; closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low",0.175104,0,3.78952,short,"Market structure: range market; wait for sweep or breakout (+Buy 3, +Sell 3) | Short-term momentum: 3-candle price pressure is bearish: -0.35% (+Buy 0, +Sell 10) | Latest candle close: latest candle closed low in its range (0.15) (+Buy 0, +Sell 5) | Fair Value Gap: bearish imbalance detected on latest 3-candle structure (+Buy 0, +Sell 12) | Candlestick trigger: strong bearish close (+Buy 0, +Sell 14) | Candle urgency: FALL NOW 72/100 — bearish ignition candle; body 0.82, range 2.07x avg, close pos 0.15; closed below recent candle lows; breakdown confirmed by close; two-candle downside acceleration; latest close broke previous low (+Buy 0, +Sell 22) | Volume impulse: very high activity: 3.79x average (+Buy 6, +Sell 6) | Directional volume: high volume is supporting downside pressure (+Buy 0, +Sell 6) | Trade flow: buyers stronger: delta +0.18 (+Buy 9, +Sell 0) | Session timing: active volatility window (+Buy 3, +Sell 3) | BTC alignment: BTC short-term context supports shorts (+Buy 0, +Sell 8)"
